as_of_date,security_id,par_amount,book_value,market_value,database_date
2025-03-31,QUSNB5HND,16300000,16244840.8,16074342.8,2025-04-03
2025-02-28,TX6WM71BU,7600000,7418124.4,7241994.4,2025-03-03
2025-04-30,TX6WM71BU,7600000,7418124.4,7368230.4,2025-05-03
2025-10-31,1AMUISU25,5900000,5809700.5,6047140.1,2025-11-03
2025-10-31,9FYHXS77C,23300000,22628354.2,24070577.6,2025-11-03
2025-10-31,T4Q2CGF9M,11600000,11389576.0,11983681.6,2025-11-03
2025-12-31,TX6WM71BU,12700000,12396076.3,12134011.8,2026-01-03
2025-01-31,TX6WM71BU,7600000,7418124.4,7173047.2,2025-02-03
2025-02-28,7RRU96WRX,24800000,24190416.0,24535830.4,2025-03-03
2025-08-31,W77COTA0A,10700000,10407504.8,9904305.2,2025-09-03
2025-08-31,A0ETNRG33,13900000,13140170.4,,2025-09-03
2025-02-28,UDV04Q028,9600000,9467193.6,9648336.0,2025-03-03
2025-01-31,N7Z68G2BD,13100000,13395627.7,,2025-02-03
2025-10-31,3JGH5S75L,3300000,3274916.7,3172616.7,2025-11-03
2025-02-28,42KX0JJRN,4300000,4208216.5,4307937.8,2025-03-03
2025-03-31,GH963PM7A,21100000,21748065.4,,2025-04-03
2025-07-31,GWIADZLNM,12300000,12506025.0,12242829.6,2025-08-03
2025-11-30,PPDQ0XYS2,2500000,2490105.0,2376997.5,2025-12-03
2025-02-28,GH963PM7A,21100000,21748065.4,20750647.3,2025-03-03
2025-03-31,SQUBO2P2A,20000000,19630580.0,20685480.0,2025-04-03
2025-08-31,57FALF6HP,12000000,12042084.0,11184348.0,2025-09-03
2025-10-31,NLP599VY4,3800000,3828868.6,3742730.2,2025-11-03
2025-05-31,7Y376AS3A,21800000,21931715.6,21198559.8,2025-06-03
2025-12-31,XWRWGY7W4,4500000,4479579.0,4494150.0,2026-01-03
2025-04-30,SFWOSNOWG,20900000,20935718.1,19779613.7,2025-05-03
2025-03-31,RYHSQ0LD6,17800000,17250069.0,17510856.8,2025-04-03
2025-03-31,3QHXPR1U3,5000000,4981795.0,4877825.0,2025-04-03
2025-01-31,57FALF6HP,5900000,5920691.3,5676053.7,2025-02-03
2025-05-31,M851Y65ZE,15500000,15128542.5,15489537.5,2025-06-03
2025-05-31,N7Z68G2BD,13100000,13395627.7,13003754.3,2025-06-03
2025-12-31,XHETACNP9,14500000,14694227.5,15159315.0,2026-01-03
2025-07-31,9G5QIVWML,22700000,22606816.5,20519415.3,2025-08-03
2025-11-30,GWIADZLNM,12300000,12506025.0,11851689.6,2025-12-03
2025-06-30,QUSNB5HND,12300000,12258376.8,12437821.5,2025-07-03
2025-04-30,DQ7IE0FTV,14500000,14580228.5,14886860.0,2025-05-03
2025-01-31,DQ7IE0FTV,14500000,14580228.5,14845274.0,2025-02-03
2025-04-30,BPP99K7JP,7300000,7041521.6,6794587.06,2025-05-13
2025-04-30,F5ZXP22RK,18800000,18936563.2,19128022.4,2025-05-03
2025-11-30,516Y1ZY06,18000000,17685684.0,17892504.0,2025-12-03
2025-10-31,SWAH8C2NH,14900000,14741195.8,14768388.3,2025-11-03
2025-08-31,QUSNB5HND,12300000,12258376.8,12415915.2,2025-09-03
2025-12-31,9QXT5L32T,8900000,8778310.3,9505351.3,2026-01-03
2025-07-31,ZWM2G6B6P,2900000,2818997.2,3108791.3,2025-08-03
2025-02-28,W77COTA0A,14700000,14298160.8,14625000.6,2025-03-03
2025-11-30,XHETACNP9,14500000,14694227.5,15025059.5,2025-12-03
2025-12-31,ZWM2G6B6P,2900000,2818997.2,2985796.5,2026-01-03
2025-07-31,RVV4PF374,6500000,6364312.5,5832235.5,2025-08-03
2025-03-31,BU1B58UOJ,23100000,22899030.0,22924786.5,2025-04-03
2025-07-31,7RRU96WRX,24800000,24190416.0,25303539.2,2025-08-03
2025-11-30,T4Q2CGF9M,11600000,11389576.0,12130456.4,2025-12-03
2025-01-31,9G5QIVWML,22700000,22606816.5,22688808.9,2025-02-03
2025-08-31,PPDQ0XYS2,2500000,2490105.0,2358052.5,2025-09-03
2025-05-31,77AC83R7N,25400000,24546102.8,25791693.4,2025-06-03
2025-04-30,T4Q2CGF9M,11600000,11389576.0,11952280.4,2025-05-03
2025-04-30,7Y376AS3A,21800000,21931715.6,21078441.8,2025-05-03
2025-04-30,VK4YN4WS3,3900000,3955270.8,3805011.6,2025-05-03
2025-06-30,2W39AEZXG,7900000,7797552.8,8419590.9,2025-07-03
2025-02-28,0U2V1O3GA,1800000,1778509.8,1770804.0,2025-03-03
2025-12-31,ACWFGJ6SW,23600000,22500310.8,21799839.2,2026-01-03
2025-11-30,F4996VZB3,5800000,5889267.8,5850373.0,2025-12-03
2025-07-31,M851Y65ZE,15500000,15128542.5,15397188.5,2025-08-03
2025-10-31,PAN8DGGZO,9200000,9099480.8,,2025-11-03
2025-10-31,SFWOSNOWG,20900000,20935718.1,19832657.9,2025-11-03
2025-11-30,VWN1AXARW,25600000,24942950.4,24636638.1,2025-12-13
2025-12-31,CUME7DYT1,3100000,3059368.3,3379917.6,2026-01-03
2025-08-31,MBL9ZSN6D,20000000,19612220.0,19240600.0,2025-09-03
2025-12-31,PAN8DGGZO,9200000,9099480.8,9711492.4,2026-01-03
2025-11-30,XWRWGY7W4,4500000,4479579.0,4494150.0,2025-12-03
2025-05-31,TFYI3F2JS,6700000,6607875.0,6736675.8,2025-06-03
2025-02-28,JCEEYST39,13600000,13929786.4,13372580.8,2025-03-03
2025-04-30,VWN1AXARW,25600000,24942950.4,25680384.0,2025-05-03
2025-08-31,H35A0KKW1,8900000,9158117.8,9095168.1,2025-09-03
2025-09-30,3QHXPR1U3,4900000,4882159.1,4814132.4,2025-10-03
2025-03-31,F5ZXP22RK,18800000,18936563.2,18938894.4,2025-04-03
2025-11-30,MBL9ZSN6D,16000000,15689776.0,15023824.0,2025-12-03
