as_of_date,security_id,clean_price,oas_bps
2025-01-31,SFWOSNOWG,94.5414,7.3
2025-01-31,70PTTP6WP,98.5249,1.3
2025-01-31,1060VXN0Z,97.5794,4.2
2025-01-31,AMZ82XUGQ,100.8871,7.9
2025-01-31,3QHXPR1U3,97.2919,3.7
2025-01-31,Z0P1QUO3L,103.4027,3.8
2025-01-31,516Y1ZY06,100.4408,1.7
2025-01-31,JL7ZH6V32,95.5946,5.9
2025-01-31,Q14AFA9CM,97.2042,87.7
2025-01-31,IQ9KFUKG1,99.6273,308.3
2025-01-31,UDV04Q028,98.7971,288.6
2025-01-31,M851Y65ZE,102.767,511.6
2025-01-31,1AMUISU25,100.7823,119.0
2025-01-31,FH5KSL4JL,102.8719,52.8
2025-01-31,H35A0KKW1,100.7389,54.4
2025-01-31,A0ETNRG33,98.5544,487.4
2025-01-31,J723UFW32,100.654,155.7
2025-01-31,F5ZXP22RK,99.0016,156.8
2025-01-31,0X3DQ57DL,101.039,125.6
2025-01-31,BU1B58UOJ,101.045,125.0
2025-01-31,GWIADZLNM,100.091,129.2
2025-01-31,77AC83R7N,101.6971,53.4
2025-01-31,RCMQ9MYM5,99.5924,91.6
2025-01-31,2W39AEZXG,102.1193,133.3
2025-01-31,H1DVRLE0Y,102.5045,138.9
2025-01-31,EPS5OVW1R,97.7189,84.4
2025-01-31,57FALF6HP,96.2043,286.3
2025-01-31,GH963PM7A,99.1088,76.8
2025-01-31,T4Q2CGF9M,103.8707,96.0
2025-01-31,F7G76ZDFS,95.6797,430.9
2025-01-31,M76L42UT4,98.3029,87.2
2025-01-31,SDW8SJ686,102.6114,89.8
2025-01-31,XHETACNP9,104.3998,92.8
2025-01-31,VWN1AXARW,101.1865,87.8
2025-01-31,42KX0JJRN,100.2597,541.8
2025-01-31,ACWFGJ6SW,97.3585,65.8
2025-01-31,PPDQ0XYS2,95.9389,87.2
2025-01-31,PSX36784P,94.5238,97.1
2025-01-31,SWAH8C2NH,102.3812,58.1
2025-01-31,9FYHXS77C,101.2845,484.4
2025-01-31,VK4YN4WS3,97.9782,77.7
2025-01-31,7Y376AS3A,96.5005,139.6
2025-01-31,H0HGFB0NV,103.909,51.1
2025-01-31,BPP99K7JP,98.5724,138.5
2025-01-31,P1QZ2N1GW,99.1386,350.7
2025-01-31,EKZ7PYHFP,97.9127,97.1
2025-01-31,RVV4PF374,96.844,271.3
2025-01-31,9G5QIVWML,99.9507,87.7
2025-01-31,W77COTA0A,100.2836,134.1
2025-01-31,3JGH5S75L,102.9681,473.7
2025-01-31,63LG8HRJ3,98.3258,152.0
2025-01-31,ZXE7H13LL,100.1284,104.6
2025-01-31,PAN8DGGZO,103.133,101.3
2025-01-31,ZWM2G6B6P,106.9754,55.6
2025-01-31,N7Z68G2BD,99.7339,139.0
2025-01-31,VHF93XHZ7,98.7902,273.6
2025-01-31,DV872TCVX,103.0713,136.2
2025-01-31,7RRU96WRX,100.2349,56.5
2025-01-31,CUME7DYT1,100.7168,77.2
2025-01-31,DQ7IE0FTV,102.3812,141.8
2025-01-31,3QPGK1A7G,99.077,65.1
2025-01-31,QSGQCVL0P,98.9115,336.3
2025-01-31,XWRWGY7W4,95.8265,94.7
2025-01-31,TFYI3F2JS,99.7946,82.2
2025-01-31,TX6WM71BU,94.3822,452.5
2025-01-31,RYHSQ0LD6,99.6052,96.5
2025-01-31,XMQXAE3CS,99.2396,460.4
2025-01-31,F4996VZB3,99.117,68.1
2025-01-31,SQUBO2P2A,100.1857,79.2
2025-01-31,0U2V1O3GA,99.3323,80.2
2025-01-31,YTQS0JLHJ,99.3529,35.8
2025-01-31,QZMZEQYUV,99.2974,52.6
2025-01-31,JCEEYST39,99.863,36.8
2025-01-31,MBL9ZSN6D,96.6115,40.2
2025-01-31,9QXT5L32T,103.7283,59.8
2025-01-31,CHXDACEZ1,101.1569,76.6
2025-01-31,JGB673A1M,104.2717,79.5
2025-01-31,NLP599VY4,95.5216,88.9
