trade_id,trade_date,settlement_date,security_id,trade_type,par_amount,price
T1061,2025-11-10,2025-11-12,J723UFW32,MATURITY,4600000,100.0
T1074,2025-08-21,2025-08-23,XK93PLR22,BUY,3000000,99.9315
T1029,2025-05-12,2025-05-14,J723UFW32,SELL,3000000,99.8447
T1068,2025-12-12,2025-12-14,3JGH5S75L,BUY,2600000,95.1084
T1043,2025-08-07,2025-08-09,BRN4YWM4W,BUY,2500000,99.4138
T1037,2025-07-11,2025-07-13,H1DVRLE0Y,BUY,6100000,105.6556
T1007,2025-02-21,2025-02-23,VWN1AXARW,BUY,2300000,100.3546
T1006,2025-01-24,2025-01-26,J723UFW32,SELL,2500000,100.8154
T1036,2025-07-12,2025-07-14,3QPGK1A7G,BUY,4100000,103.2821
T1022,2025-04-22,2025-04-24,QUSNB5HND,SELL,4000000,99.5839
T1072,2025-12-13,2025-12-15,M851Y65ZE,SELL,4000000,101.1799
T1034,2025-06-25,2025-06-27,GH963PM7A,SELL,4000000,99.5704
T1046,2025-08-16,2025-08-18,F4996VZB3,SELL,4000000,99.2828
T1062,2025-11-07,2025-11-09,77AC83R7N,BUY,7900000,104.8143
T1016,2025-03-04,2025-03-06,W77COTA0A,SELL,4000000,90.1129
T1026,2025-05-19,2025-05-21,XMQXAE3CS,BUY,4600000,97.1369
T1049,2025-09-03,2025-09-05,F7G76ZDFS,BUY,1700000,94.6604
T1039,2025-07-14,2025-07-16,XHETACNP9,SELL,4000000,103.7372
T1050,2025-09-14,2025-09-16,JGB673A1M,BUY,3300000,102.8907
T1032,2025-06-08,2025-06-10,SQUBO2P2A,BUY,3700000,103.1402
T1020,2025-04-20,2025-04-22,1AMUISU25,BUY,7900000,101.0481
T1030,2025-06-20,2025-06-22,XMQXAE3CS,MATURITY,9700000,100.0
T1005,2025-01-12,2025-01-14,EKZ7PYHFP,SELL,4000000,97.8532
T1070,2025-12-06,2025-12-08,3QPGK1A7G,BUY,1500000,102.6109
T1054,2025-10-08,2025-10-10,IQ9KFUKG1,BUY,4900000,100.229
T1019,2025-04-04,2025-04-06,57FALF6HP,BUY,6100000,93.6692
T1040,2025-07-03,2025-07-05,3QHXPR1U3,SELL,1600000,97.7342
T1071,2025-12-23,2025-12-25,EPS5OVW1R,SELL,4000000,96.9732
T1058,2025-10-11,2025-10-13,YTQS0JLHJ,SELL,1700000,96.5358
T1014,2025-03-15,2025-03-17,BRN4YWM4W,BUY,2400000,98.3847
T1025,2025-05-17,2025-05-19,SWAH8C2NH,BUY,3000000,100.8963
